
code	|	taxid	|	primary taxid	|	taxname
1	|	1085	|	1085	|	Rhodospirillum rubrum
1	|	6421	|	6421	|	Hirudo medicinalis
1	|	59729	|	59729	|	Taeniopygia guttata
1	|	7091	|	7091	|	Bombyx mori
1	|	4151	|	4151	|	Antirrhinum majus
1	|	117	|	117	|	Pirellula sp.
1	|	7729	|	7729	|	Halocynthia roretzi
2	|	6621	|	1051067	|	Doryteuthis pealeii
2	|	5145	|	2587412	|	Podospora anserina
1	|	156889	|	156889	|	Magnetococcus marinus MC-1
1	|	212035	|	212035	|	Acanthamoeba polyphaga mimivirus
1	|	6183	|	6183	|	Schistosoma mansoni
1	|	9940	|	9940	|	Ovis aries
1	|	5888	|	5888	|	Paramecium tetraurelia
1	|	4568	|	4568	|	Triticum monococcum
1	|	3847	|	3847	|	Glycine max
1	|	5061	|	5061	|	Aspergillus niger
1	|	2788	|	2788	|	Neopyropia yezoensis
1	|	7175	|	7175	|	Culex pipiens
1	|	6728	|	6728	|	Procambarus clarkii
1	|	746128	|	746128	|	Aspergillus fumigatus
1	|	8022	|	8022	|	Oncorhynchus mykiss
1	|	648	|	648	|	Aeromonas caviae
1	|	4072	|	4072	|	Capsicum annuum
1	|	51453	|	51453	|	Trichoderma reesei
1	|	278021	|	278021	|	Antonospora locustae
1	|	3767	|	3767	|	Pyrus pyrifolia
1	|	5067	|	5067	|	Aspergillus parasiticus
1	|	3827	|	3827	|	Cicer arietinum
1	|	5062	|	5062	|	Aspergillus oryzae
1	|	9091	|	9091	|	Coturnix coturnix
1	|	6759	|	6759	|	Carcinus maenas
1	|	67593	|	67593	|	Phytophthora sojae
1	|	4787	|	4787	|	Phytophthora infestans
1	|	3055	|	3055	|	Chlamydomonas reinhardtii
1	|	287	|	287	|	Pseudomonas aeruginosa
1	|	5722	|	5722	|	Trichomonas vaginalis
1	|	10029	|	10029	|	Cricetulus griseus
1	|	34765	|	34765	|	Oikopleura dioica
1	|	7245	|	7245	|	Drosophila yakuba
1	|	9823	|	9823	|	Sus scrofa
1	|	9258	|	9258	|	Ornithorhynchus anatinus
1	|	162425	|	162425	|	Aspergillus nidulans
1	|	5270	|	5270	|	Ustilago maydis
1	|	5476	|	5476	|	Candida albicans
2	|	4905	|	870730	|	Ogataea angusta
1	|	6500	|	6500	|	Aplysia californica
1	|	5874	|	5874	|	Theileria annulata
1	|	31234	|	31234	|	Caenorhabditis remanei
1	|	7957	|	7957	|	Carassius auratus
1	|	8330	|	8330	|	Cynops pyrrhogaster
1	|	181082	|	181082	|	Emiliania huxleyi virus 86
1	|	4120	|	4120	|	Ipomoea batatas
1	|	6945	|	6945	|	Ixodes scapularis
1	|	7654	|	7654	|	Lytechinus variegatus
1	|	52904	|	52904	|	Scophthalmus maximus
1	|	4113	|	4113	|	Solanum tuberosum
1	|	5875	|	5875	|	Theileria parva
1	|	7788	|	7788	|	Torpedo marmorata
1	|	7719	|	7719	|	Ciona intestinalis
1	|	7165	|	7165	|	Anopheles gambiae
1	|	375	|	375	|	Bradyrhizobium japonicum
1	|	3711	|	3711	|	Brassica rapa
1	|	1488	|	1488	|	Clostridium acetobutylicum
1	|	84980	|	84980	|	Desulfotalea psychrophila
1	|	5518	|	5518	|	Fusarium graminearum
1	|	4513	|	4513	|	Hordeum vulgare
1	|	188	|	188	|	Magnetospirillum magnetotacticum
1	|	2099	|	2099	|	Mesomycoplasma hyopneumoniae
1	|	5833	|	5833	|	Plasmodium falciparum
1	|	265606	|	265606	|	Rhodopirellula baltica
1	|	1076	|	1076	|	Rhodopseudomonas palustris
1	|	70863	|	70863	|	Shewanella oneidensis
1	|	2734	|	2734	|	Symbiobacterium thermophilum
1	|	666	|	666	|	Vibrio cholerae
1	|	668	|	668	|	Aliivibrio fischeri
1	|	672	|	672	|	Vibrio vulnificus
1	|	5740	|	5740	|	Giardia
1	|	38033	|	38033	|	Chaetomium globosum
1	|	5501	|	5501	|	Coccidioides immitis
1	|	5936	|	5936	|	Moneuplotes crassus
1	|	35128	|	35128	|	Thalassiosira pseudonana
1	|	64495	|	64495	|	Rhizopus arrhizus
1	|	7070	|	7070	|	Tribolium castaneum
1	|	45157	|	45157	|	Cyanidioschyzon merolae
1	|	7159	|	7159	|	Aedes aegypti
1	|	5911	|	5911	|	Tetrahymena thermophila
1	|	33178	|	33178	|	Aspergillus terreus
1	|	36911	|	36911	|	Clavispora lusitaniae
1	|	5346	|	5346	|	Coprinopsis cinerea
1	|	117187	|	117187	|	Fusarium verticillioides
1	|	29883	|	29883	|	Laccaria bicolor
2	|	140110	|	984957	|	Fusarium haematococcum
1	|	4924	|	4924	|	Scheffersomyces stipitis
1	|	5180	|	5180	|	Sclerotinia sclerotiorum
1	|	13684	|	13684	|	Parastagonospora nodorum
1	|	33188	|	33188	|	Uncinocarpus reesii
2	|	5306	|	2822231	|	Phanerodontia chrysosporium
1	|	5936	|	5936	|	Moneuplotes crassus
1	|	95347	|	95347	|	Ctenophorus ornatus
1	|	30286	|	30286	|	Molgula tectiformis
1	|	51511	|	51511	|	Ciona savignyi
1	|	7739	|	7739	|	Branchiostoma floridae
2	|	6085	|	6087	|	Hydra vulgaris
1	|	7656	|	7656	|	Paracentrotus lividus
1	|	121225	|	121225	|	Pediculus humanus
1	|	7200	|	7200	|	Lutzomyia longipalpis
1	|	7153	|	7153	|	Chironomus tentans
1	|	6706	|	6706	|	Homarus americanus
1	|	51029	|	51029	|	Heterodera glycines
1	|	6248	|	6248	|	Strongyloides stercoralis
1	|	79327	|	79327	|	Schmidtea mediterranea
1	|	6161	|	6161	|	Dugesia japonica
1	|	6334	|	6334	|	Trichinella spiralis
1	|	7029	|	7029	|	Acyrthosiphon pisum
1	|	7394	|	7394	|	Glossina morsitans
1	|	6289	|	6289	|	Haemonchus contortus
1	|	27405	|	27405	|	Penaeus japonicus
1	|	123226	|	123226	|	Mesobuthus gibbosus
1	|	45351	|	45351	|	Nematostella vectensis
1	|	242159	|	242159	|	Ostreococcus sp. 'lucimarinus'
1	|	70448	|	70448	|	Ostreococcus tauri
1	|	35630	|	35630	|	Hydractinia echinata
1	|	115339	|	115339	|	Acanthoscurria gomesiana
1	|	79738	|	79738	|	Dugesia ryukyuensis
1	|	6210	|	6210	|	Echinococcus granulosus
1	|	79923	|	79923	|	Clonorchis sinensis
1	|	34504	|	34504	|	Paragonimus westermani
1	|	6325	|	6325	|	Bursaphelenchus mucronatus
1	|	6304	|	6304	|	Meloidogyne arenaria
1	|	6305	|	6305	|	Meloidogyne hapla
1	|	45264	|	45264	|	Acropora millepora
1	|	6613	|	6613	|	Euprymna scolopes
1	|	7594	|	7594	|	Patiria pectinifera
1	|	6941	|	6941	|	Rhipicephalus microplus
1	|	6131	|	6131	|	Acropora palmata
1	|	232323	|	232323	|	Hypsibius dujardini
1	|	7764	|	7764	|	Eptatretus burgeri
1	|	131310	|	131310	|	Parastrongyloides trichosuri
1	|	34631	|	34631	|	Rhipicephalus appendiculatus
1	|	35525	|	35525	|	Daphnia magna
1	|	70415	|	70415	|	Trichuris muris
1	|	35632	|	35632	|	Lumbricus rubellus
1	|	34607	|	34607	|	Amblyomma cajennense
1	|	81526	|	81526	|	Monosiga ovata
1	|	69293	|	69293	|	Gasterosteus aculeatus
1	|	7004	|	7004	|	Locusta migratoria
1	|	266772	|	266772	|	Oncometopia nigricans
1	|	13040	|	13040	|	Diaprepes abbreviatus
1	|	34506	|	34506	|	Strongyloides ratti
1	|	197009	|	197009	|	Platystomos albinus
1	|	6087	|	6087	|	Hydra vulgaris
1	|	33431	|	33431	|	Heliconius erato
1	|	386100	|	386100	|	Oscarella carmela
1	|	6096	|	6096	|	Podocoryna carnea
1	|	53326	|	53326	|	Ancylostoma ceylanicum
1	|	6526	|	6526	|	Biomphalaria glabrata
1	|	6211	|	6211	|	Echinococcus multilocularis
1	|	36090	|	36090	|	Globodera pallida
1	|	54126	|	54126	|	Pristionchus pacificus
1	|	59747	|	59747	|	Meloidogyne chitwoodi
1	|	6303	|	6303	|	Meloidogyne javanica
1	|	6326	|	6326	|	Bursaphelenchus xylophilus
1	|	51031	|	51031	|	Necator americanus
1	|	8305	|	8305	|	Ambystoma tigrinum
1	|	46003	|	46003	|	Xiphinema index
1	|	189293	|	189293	|	Meloidogyne paranaensis
1	|	45929	|	45929	|	Pratylenchus penetrans
1	|	31243	|	31243	|	Globodera rostochiensis
1	|	6306	|	6306	|	Meloidogyne incognita
1	|	219738	|	219738	|	Trichuris vulpis
1	|	45464	|	45464	|	Teladorsagia circumcincta
1	|	6253	|	6253	|	Ascaris suum
1	|	6317	|	6317	|	Ostertagia ostertagi
1	|	34602	|	34602	|	Argas monolakensis
1	|	80765	|	80765	|	Aphis gossypii
1	|	77259	|	77259	|	Papilio dardanus
1	|	7186	|	7186	|	Rhynchosciara americana
1	|	13164	|	13164	|	Myzus persicae
1	|	40697	|	40697	|	Blomia tropicalis
1	|	223852	|	223852	|	Aphis citricidus
1	|	7108	|	7108	|	Spodoptera frugiperda
1	|	7757	|	7757	|	Petromyzon marinus
1	|	168635	|	168635	|	Diplosoma listerianum
1	|	164328	|	164328	|	Phytophthora ramorum
1	|	2850	|	2850	|	Phaeodactylum tricornutum
1	|	81824	|	81824	|	Monosiga brevicollis
1	|	5762	|	5762	|	Naegleria gruberi
1	|	5482	|	5482	|	Candida tropicalis
1	|	40559	|	40559	|	Botrytis cinerea
1	|	36914	|	36914	|	Lodderomyces elongisporus
2	|	54734	|	1047171	|	Zymoseptoria tritici
1	|	405	|	405	|	Methylobacillus flagellatus
1	|	1502	|	1502	|	Clostridium perfringens
1	|	56812	|	56812	|	Shewanella frigidimarina
1	|	1313	|	1313	|	Streptococcus pneumoniae
1	|	197	|	197	|	Campylobacter jejuni
1	|	294	|	294	|	Pseudomonas fluorescens
1	|	1255	|	1255	|	Pediococcus pentosaceus
1	|	912	|	912	|	Nitrobacter hamburgensis
1	|	158327	|	158327	|	Hahella chejuensis
1	|	28232	|	28232	|	Geobacter metallireducens
1	|	29459	|	29459	|	Brucella melitensis
1	|	35802	|	35802	|	Brucella abortus bv. 1
1	|	29461	|	29461	|	Brucella suis
1	|	2203	|	2203	|	Methanospirillum hungatei
1	|	2208	|	2208	|	Methanosarcina barkeri
1	|	39152	|	39152	|	Methanococcus maripaludis
1	|	146919	|	146919	|	Salinibacter ruber
1	|	129958	|	129958	|	Carboxydothermus hydrogenoformans
1	|	192073	|	192073	|	Shewanella denitrificans
1	|	36873	|	36873	|	Paraburkholderia xenovorans
1	|	188905	|	188905	|	Jannaschia
1	|	312306	|	312306	|	Pseudomonas entomophila
1	|	28901	|	28901	|	Salmonella enterica
1	|	56636	|	56636	|	Aeropyrum pernix
1	|	106590	|	106590	|	Cupriavidus necator
1	|	135577	|	135577	|	Idiomarina loihiensis
1	|	259537	|	259537	|	Dechloromonas aromatica
1	|	644	|	644	|	Aeromonas hydrophila
1	|	86665	|	86665	|	Halalkalibacterium halodurans
1	|	913	|	913	|	Nitrobacter winogradskyi
1	|	1206	|	1206	|	Trichodesmium erythraeum
2	|	602	|	90371	|	Salmonella enterica subsp. enterica serovar Typhimurium
1	|	959	|	959	|	Bdellovibrio bacteriovorus
1	|	1582	|	1582	|	Lacticaseibacillus casei
1	|	2257	|	2257	|	Natronomonas pharaonis
1	|	192843	|	192843	|	Rhodoferax ferrireducens
1	|	670	|	670	|	Vibrio parahaemolyticus
1	|	2903	|	2903	|	Emiliania huxleyi
1	|	8090	|	8090	|	Oryzias latipes
1	|	6279	|	6279	|	Brugia malayi
1	|	281687	|	281687	|	Caenorhabditis japonica
1	|	10224	|	10224	|	Saccoglossus kowalevskii
1	|	7782	|	7782	|	Leucoraja erinacea
1	|	94289	|	94289	|	Sterkiella histriomuscorum
1	|	6669	|	6669	|	Daphnia pulex
1	|	3880	|	3880	|	Medicago truncatula
1	|	3694	|	3694	|	Populus trichocarpa
1	|	40563	|	40563	|	Sporobolomyces roseus
1	|	4837	|	4837	|	Phycomyces blakesleeanus
1	|	13616	|	13616	|	Monodelphis domestica
1	|	3218	|	3218	|	Physcomitrium patens
1	|	5507	|	5507	|	Fusarium oxysporum
1	|	13684	|	13684	|	Parastagonospora nodorum
1	|	5057	|	5057	|	Aspergillus clavatus
1	|	36630	|	36630	|	Aspergillus fischeri
1	|	4897	|	4897	|	Schizosaccharomyces japonicus
1	|	27779	|	27779	|	Protopterus dolloi
1	|	7653	|	7653	|	Lytechinus pictus
1	|	7830	|	7830	|	Scyliorhinus canicula
1	|	7769	|	7769	|	Myxine glutinosa
1	|	7897	|	7897	|	Latimeria chalumnae
2	|	217364	|	34590	|	Chaetopterus variopedatus
1	|	9796	|	9796	|	Equus caballus
1	|	7229	|	7229	|	Drosophila miranda
1	|	7740	|	7740	|	Branchiostoma lanceolatum
1	|	9103	|	9103	|	Meleagris gallopavo
1	|	56443	|	56443	|	Sycon raphanus
1	|	7998	|	7998	|	Ictalurus punctatus
1	|	6625	|	6625	|	Watasenia scintillans
1	|	6618	|	6618	|	Loligo forbesii
1	|	46514	|	46514	|	Patiria miniata
1	|	7373	|	7373	|	Calliphora vicina
1	|	93600	|	93600	|	Misgurnus mizolepis
2	|	7785	|	1870830	|	Diplobatis ommata
1	|	9685	|	9685	|	Felis catus
1	|	6047	|	6047	|	Geodia cydonium
1	|	31330	|	31330	|	Ephydatia fluviatilis
1	|	7130	|	7130	|	Manduca sexta
1	|	55567	|	55567	|	Suberites domuncula
1	|	33169	|	33169	|	Eremothecium gossypii
1	|	3712	|	3712	|	Brassica oleracea
1	|	7244	|	7244	|	Drosophila virilis
1	|	4081	|	4081	|	Solanum lycopersicum
1	|	36044	|	36044	|	Erysiphe pisi
1	|	157791	|	157791	|	Vigna radiata
1	|	68875	|	68875	|	Torenia fournieri
1	|	4093	|	4093	|	Nicotiana rustica
1	|	4081	|	4081	|	Solanum lycopersicum
1	|	82316	|	82316	|	Lilium davidii
1	|	3917	|	3917	|	Vigna unguiculata
1	|	5811	|	5811	|	Toxoplasma gondii
1	|	121769	|	121769	|	Digitaria sanguinalis
1	|	3708	|	3708	|	Brassica napus
1	|	4577	|	4577	|	Zea mays
1	|	212142	|	212142	|	Petunia integrifolia subsp. inflata
1	|	56623	|	56623	|	Sporobolus stapfianus
1	|	3888	|	3888	|	Pisum sativum
1	|	107243	|	107243	|	Noccaea caerulescens
1	|	109871	|	109871	|	Batrachochytrium dendrobatidis
1	|	5660	|	5660	|	Leishmania braziliensis
1	|	5671	|	5671	|	Leishmania infantum
1	|	104341	|	104341	|	Postia placenta
1	|	3067	|	3067	|	Volvox carteri
1	|	7217	|	7217	|	Drosophila ananassae
1	|	13686	|	13686	|	Solenopsis invicta
1	|	6999	|	6999	|	Gryllus bimaculatus
1	|	90988	|	90988	|	Pimephales promelas
1	|	6359	|	6359	|	Platynereis dumerilii
1	|	140238	|	140238	|	Acropora aspera
1	|	6549	|	6549	|	Mytilus californianus
1	|	192875	|	192875	|	Capsaspora owczarzaki
1	|	4853	|	4853	|	Cunninghamella elegans
1	|	127580	|	127580	|	Sargassum binderi
1	|	136089	|	136089	|	Malawimonas jakobiformis
2	|	65071	|	2052682	|	Globisporangium ultimum
1	|	41882	|	41882	|	Mesostigma viride
1	|	223430	|	223430	|	Aquilegia formosa
1	|	108607	|	108607	|	Mastigamoeba balamuthi
1	|	197043	|	197043	|	Homalodisca vitripennis
1	|	48498	|	48498	|	Orbicella faveolata
1	|	7260	|	7260	|	Drosophila willistoni
1	|	109027	|	109027	|	Laupala kohalensis
1	|	212130	|	212130	|	Aleuroglyphus ovatus
1	|	232561	|	232561	|	Eoxenos laboulbenei
1	|	48668	|	48668	|	Rutilus rutilus
1	|	7962	|	7962	|	Cyprinus carpio
1	|	75329	|	75329	|	Misgurnus anguillicaudatus
1	|	8030	|	8030	|	Salmo salar
1	|	8081	|	8081	|	Poecilia reticulata
1	|	4881	|	4881	|	Amoebidium parasiticum
1	|	8014	|	8014	|	Osmerus mordax
1	|	8078	|	8078	|	Fundulus heteroclitus
1	|	8260	|	8260	|	Platichthys flesus
1	|	8267	|	8267	|	Hippoglossus hippoglossus
1	|	8049	|	8049	|	Gadus morhua
1	|	7797	|	7797	|	Squalus acanthias
1	|	225164	|	225164	|	Lottia gigantea
1	|	73382	|	73382	|	Capitella sp. 1
1	|	143606	|	143606	|	Gobiocypris rarus
1	|	10141	|	10141	|	Cavia porcellus
1	|	9483	|	9483	|	Callithrix jacchus
1	|	40559	|	40559	|	Botrytis cinerea
1	|	5855	|	5855	|	Plasmodium vivax
1	|	4929	|	4929	|	Meyerozyma guilliermondii
1	|	1717	|	1717	|	Corynebacterium diphtheriae
1	|	5037	|	5037	|	Histoplasma capsulatum
1	|	29760	|	29760	|	Vitis vinifera
1	|	208226	|	208226	|	Alkaliphilus metalliredigens
1	|	7425	|	7425	|	Nasonia vitripennis
1	|	60517	|	60517	|	Taenia asiatica
1	|	6412	|	6412	|	Helobdella robusta
1	|	50390	|	50390	|	Diabrotica virgifera virgifera
1	|	8296	|	8296	|	Ambystoma mexicanum
1	|	37862	|	37862	|	Heterorhabditis bacteriophora
1	|	6204	|	6204	|	Taenia solium
1	|	8023	|	8023	|	Oncorhynchus nerka
1	|	9337	|	9337	|	Trichosurus vulpecula
1	|	140564	|	140564	|	Ornithodoros parkeri
1	|	29031	|	29031	|	Phlebotomus papatasi
1	|	44056	|	44056	|	Aureococcus anophagefferens
1	|	10228	|	10228	|	Trichoplax adhaerens
1	|	130081	|	130081	|	Galdieria sulphuraria
1	|	4641	|	4641	|	Musa acuminata
1	|	122	|	122	|	Gimesia maris
1	|	124	|	124	|	Blastopirellula marina
1	|	380738	|	380738	|	Candidatus Kuenenia
1	|	5297	|	5297	|	Puccinia graminis
2	|	83344	|	1873960	|	Pseudocercospora fijiensis
1	|	88036	|	88036	|	Selaginella moellendorffii
1	|	36033	|	36033	|	Vanderwaltozyma polyspora
1	|	29875	|	29875	|	Trichoderma virens
1	|	38833	|	38833	|	Micromonas pusilla
1	|	5059	|	5059	|	Aspergillus flavus
1	|	27291	|	27291	|	Saccharomyces paradoxus
1	|	114525	|	114525	|	Saccharomyces mikatae
1	|	4931	|	4931	|	Saccharomyces bayanus
1	|	114524	|	114524	|	Saccharomyces kudriavzevii
1	|	27288	|	27288	|	Naumovozyma castellii
1	|	4934	|	4934	|	Lachancea kluyveri
1	|	4914	|	4914	|	Lachancea waltii
1	|	5865	|	5865	|	Babesia bovis
1	|	46681	|	46681	|	Entamoeba dispar
1	|	3332	|	3332	|	Picea sitchensis
1	|	3988	|	3988	|	Ricinus communis
1	|	3046	|	3046	|	Dunaliella salina
1	|	2966	|	2966	|	Noctiluca scintillans
1	|	2926	|	2926	|	Alexandrium tamarense
1	|	5808	|	5808	|	Cryptosporidium muris
1	|	33085	|	33085	|	Entamoeba invadens
1	|	3039	|	3039	|	Euglena gracilis
1	|	55529	|	55529	|	Guillardia theta
1	|	5778	|	5778	|	Vermamoeba vermiformis
1	|	66468	|	66468	|	Heterocapsa triquetra
1	|	5932	|	5932	|	Ichthyophthirius multifiliis
1	|	37099	|	37099	|	Isochrysis galbana
1	|	221721	|	221721	|	Jakoba bahamiensis
1	|	143017	|	143017	|	Jakoba libera
1	|	156230	|	156230	|	Karenia brevis
1	|	29176	|	29176	|	Neospora caninum
2	|	2832	|	2081491	|	Diacronema lutheri
1	|	5791	|	5791	|	Physarum polycephalum
1	|	32593	|	32593	|	Sarcocystis falcatula
1	|	42890	|	42890	|	Sarcocystis neurona
1	|	221724	|	221724	|	Seculamonas ecuadoriensis
1	|	58031	|	58031	|	Cycas rumphii
1	|	139271	|	139271	|	Pinus subgen. Pinus
1	|	3329	|	3329	|	Picea abies
1	|	5802	|	5802	|	Eimeria tenella
1	|	425265	|	425265	|	Malassezia globosa CBS 7966
1	|	5755	|	5755	|	Acanthamoeba castellanii
1	|	181199	|	181199	|	Hyperamoeba
1	|	28583	|	28583	|	Allomyces macrogynus
1	|	3037	|	3037	|	Euglena longa
1	|	227086	|	227086	|	Bigelowiella natans
1	|	185687	|	185687	|	Buddenbrockia plumatellae
1	|	100933	|	100933	|	Cercomonas longicauda
1	|	51695	|	51695	|	Chlamydomonas incerta
1	|	52062	|	52062	|	Convoluta pulchra
1	|	2762	|	2762	|	Cyanophora paradoxa
1	|	91374	|	91374	|	Diplonema papillatum
1	|	218847	|	218847	|	Proterospongia
1	|	145474	|	145474	|	Helicosporidium
1	|	392300	|	392300	|	Histiona aroides
1	|	181199	|	181199	|	Hyperamoeba
2	|	342587	|	407301	|	Karlodinium veneficum
1	|	221722	|	221722	|	Malawimonas californiana
1	|	38832	|	38832	|	Micromonas
1	|	78898	|	78898	|	Podila verticillata
1	|	4758	|	4758	|	Neocallimastix patriciarum
1	|	31312	|	31312	|	Nephroselmis olivacea
1	|	1172189	|	1172189	|	Oxytricha trifallax
1	|	13642	|	13642	|	Heterostelium pallidum
1	|	51329	|	51329	|	Polytomella parva
1	|	3111	|	3111	|	Prototheca wickerhamii
1	|	48483	|	48483	|	Reclinomonas americana
1	|	5606	|	5606	|	Saitoella complicata
1	|	194530	|	194530	|	Sawyeria marylandensis
1	|	3088	|	3088	|	Tetradesmus obliquus
1	|	72019	|	72019	|	Sphaeroforma arctica
1	|	109760	|	109760	|	Spizellomyces punctatus
1	|	463046	|	463046	|	Stachyamoeba lipophora
1	|	222440	|	222440	|	Streblomastix strix
